date,category,product_name,product_type,origin,unit,lulu_price,rawabi_price,family_price,price_per_kg_lulu,price_per_kg_rawabi,price_per_kg_family,cheapest_store,status
2026-06-10,Fruits,Banana Flower,Banana,India,,,,17.5,,,,,Active
2026-06-10,Fruits,Banana Green,Banana,India,,,,4.25,,,,,Active
2026-06-10,Fruits,Physalis,Berries,,125g,,,15.0,,,120.0,Family,Active
2026-06-10,Fruits,Fresh Coconut (By Air),Coconut,India,,,,7.0,,,,,Active
2026-06-10,Fruits,Mushroom Chestnut -,Fresh Nuts,Holland,,,,15.5,,,,,Active
2026-06-10,Vegetables,Beetroot Cooked,Beetroot,,500g,,,22.0,,,44.0,Family,Active
2026-06-10,Vegetables,Broccoli,Cabbage & Broccoli,,,,,9.0,,,,,Active
2026-06-10,Vegetables,Cabbage,Cabbage & Broccoli,India,,,,8.75,,,,,Active
2026-06-10,Vegetables,Cabbage Sliced,Cabbage & Broccoli,,1kg,,,10.0,,,10.0,Family,Active
2026-06-10,Vegetables,Cauliflower,Cabbage & Broccoli,Qatar,,,,4.0,,,,,Active
2026-06-10,Vegetables,Kohi,Cabbage & Broccoli,Bangladesh,,,,17.0,,,,,Active
2026-06-10,Vegetables,Capsicum,Capsicum,Qatar,,,,6.0,,,,,Active
2026-06-10,Vegetables,Capsicum Mix Pkt,Capsicum,Holland,4.0pcs,,,29.0,,,7250.0,Family,Active
2026-06-10,Vegetables,Capsicum Orange,Capsicum,Holland,,,,11.0,,,,,Active
2026-06-10,Vegetables,Capsicum Red,Capsicum,Holland,,,,12.0,,,,,Active
2026-06-10,Vegetables,Capsicum Yellow,Capsicum,Holland,,,,11.25,,,,,Active
2026-06-10,Vegetables,Carrot,Carrots,Australia,,,,4.75,,,,,Active
2026-06-10,Vegetables,Chow Chow (Chayote),Chayote,India,,,,8.75,,,,,Active
2026-06-10,Vegetables,Chilly Red,Chillies & Spicy,Holland,,,,24.5,,,,,Active
2026-06-10,Vegetables,Chilly Round Green,Chillies & Spicy,India,,,,9.5,,,,,Active
