date,category,product_name,product_type,origin,unit,lulu_price,rawabi_price,family_price,price_per_kg_lulu,price_per_kg_rawabi,price_per_kg_family,cheapest_store,status
2026-06-17,Fruits,Banana Flower,Banana,India,,,,17.5,,,,,Active
2026-06-17,Fruits,Banana Green,Banana,India,,,,4.5,,,,,Active
2026-06-17,Fruits,Physalis,Berries,,125g,,,15.0,,,120.0,Family,Active
2026-06-17,Fruits,Fresh Shredded Coconut (By Sea),Coconut,India,,,,3.0,,,,,Active
2026-06-17,Fruits,Mushroom Chestnut -,Fresh Nuts,Holland,,,,15.5,,,,,Active
2026-06-17,Fruits,Ash Banana,Green Banana,Sri Lanka,,,,9.5,,,,,Active
2026-06-17,Vegetables,Beetroot Cooked,Beetroot,,500g,,,22.0,,,44.0,Family,Active
2026-06-17,Vegetables,Cabbage,Cabbage & Broccoli,Qatar,,,,2.25,,,,,Active
2026-06-17,Vegetables,Cabbage,Cabbage & Broccoli,India,,,,8.75,,,,,Active
2026-06-17,Vegetables,Cabbage Sliced,Cabbage & Broccoli,,1kg,,,10.0,,,10.0,Family,Active
2026-06-17,Vegetables,Kohi,Cabbage & Broccoli,Bangladesh,,,,17.0,,,,,Active
2026-06-17,Vegetables,Capsicum,Capsicum,Qatar,,,,6.0,,,,,Active
2026-06-17,Vegetables,Capsicum Mix Pkt,Capsicum,Holland,4.0pcs,,,29.0,,,7250.0,Family,Active
2026-06-17,Vegetables,Capsicum Orange,Capsicum,Holland,,,,11.0,,,,,Active
2026-06-17,Vegetables,Capsicum Red,Capsicum,Holland,,,,12.0,,,,,Active
2026-06-17,Vegetables,Capsicum Yellow,Capsicum,Holland,,,,11.25,,,,,Active
2026-06-17,Vegetables,Carrot,Carrots,Australia,,,,4.75,,,,,Active
2026-06-17,Vegetables,Chow Chow (Chayote),Chayote,India,,,,8.75,,,,,Active
2026-06-17,Vegetables,Chilly Red,Chillies & Spicy,Holland,,,,15.0,,,,,Active
2026-06-17,Vegetables,Chilly Round Green,Chillies & Spicy,India,,,,9.5,,,,,Active
2026-06-17,Vegetables,Ginger,Chillies & Spicy,China,,,,2.25,,,,,Active
2026-06-17,Vegetables,Hot Chilli,Chillies & Spicy,Qatar,,,,2.88,,,,,Active
2026-06-17,Vegetables,Jalapeno Hot Red Pepper,Chillies & Spicy,Usa,,,,65.0,,,,,Active
2026-06-17,Vegetables,Jalapeno Peppers,Chillies & Spicy,,,,,14.5,,,,,Active
2026-06-17,Vegetables,Mixed Chilli Red & Green Pkt,Chillies & Spicy,,,,,8.0,,,,,Active
2026-06-17,Vegetables,Pinakbet Mixed,Combo Pack,,1kg,,,25.0,,,25.0,Family,Active
2026-06-17,Vegetables,Sambar Mixed Vegetable,Combo Pack,,,,,10.0,,,,,Active
2026-06-17,Vegetables,Baby Corn,Corns & Baby Corn,Thailand,125g,,,8.0,,,64.0,Family,Active
2026-06-17,Vegetables,Fruit'O Snack Boiled Sweet Corn Cob,Corns & Baby Corn,,270g,,,6.0,,,22.22,Family,Active
2026-06-17,Vegetables,Sweet Corn,Corns & Baby Corn,Jordan,,,,8.5,,,,,Active
2026-06-17,Vegetables,Marrow (Kusa),Courgettes & Artichoke,Qatar,,,,3.75,,,,,Active
2026-06-17,Vegetables,Cucumber,Cucumber,Qatar,,,,3.75,,,,,Active
2026-06-17,Vegetables,Vellary Indian,Cucumber,India,1kg,,,19.0,,,19.0,Family,Active
2026-06-17,Vegetables,Garlic,Garlic,India,,,,12.25,,,,,Active
2026-06-17,Vegetables,Garlic,Garlic,Egypt,,,,8.0,,,,,Active
2026-06-17,Vegetables,Garlic Loose,Garlic,,,,,2.25,,,,,Active
2026-06-17,Vegetables,Garlic Small Pkt ( ),Garlic,China,,,,5.0,,,,,Active
2026-06-17,Vegetables,Peeled Garlic,Garlic,,250g,,,8.5,,,34.0,Family,Active
2026-06-17,Vegetables,Ash Gourd(Kumbalam),Gourds,India,,,,17.5,,,,,Active
2026-06-17,Vegetables,Dhundul,Gourds,Bangladesh,,,,17.0,,,,,Active
2026-06-17,Vegetables,Ivy Gourd (Tindly),Gourds,India,,,,10.0,,,,,Active
2026-06-17,Vegetables,Ridge Gourd,Gourds,India,,,,9.75,,,,,Active
2026-06-17,Vegetables,Snake Gourd,Gourds,India,,,,9.0,,,,,Active
2026-06-17,Vegetables,Celery,Herbs,Spain,,,,19.0,,,,,Active
2026-06-17,Vegetables,Coriander (Ksa),Herbs,,,,,3.25,,,,,Active
2026-06-17,Vegetables,Fennel,Herbs,,,,,20.0,,,,,Active
2026-06-17,Vegetables,Green Basil ( ),Herbs,Kenya,,,,16.0,,,,,Active
2026-06-17,Vegetables,Lemon Grass,Herbs,,,,,5.5,,,,,Active
2026-06-17,Vegetables,Parsely (Ksa),Herbs,,,,,10.0,,,,,Active
2026-06-17,Vegetables,Thyme Green Thin,Herbs,,,,,16.0,,,,,Active
2026-06-17,Vegetables,Bhindi (Lady'S Finger),Lady Finger,India,,,,7.5,,,,,Active
2026-06-17,Vegetables,Baby Spinach,Leafy Vegetables,Italy,125g,,,14.0,,,112.0,Family,Active
2026-06-17,Vegetables,Lettuce,Leafy Vegetables,Lebanon,,,,8.75,,,,,Active
2026-06-17,Vegetables,Lettuce Bionda/ Rossa Mix,Leafy Vegetables,,125g,,,14.0,,,112.0,Family,Active
2026-06-17,Vegetables,Lettuce Boston Soft,Leafy Vegetables,Holland,,,,16.25,,,,,Active
2026-06-17,Vegetables,Lettuce Gem Tray,Leafy Vegetables,Spain,,,,15.0,,,,,Active
2026-06-17,Vegetables,Lettuce Lollo Rossa,Leafy Vegetables,,,,,18.75,,,,,Active
2026-06-17,Vegetables,Red Chard Mix,Leafy Vegetables,Italy,125g,,,10.0,,,80.0,Family,Active
2026-06-17,Vegetables,Rocket Leaves,Leafy Vegetables,Italy,125g,,,14.0,,,112.0,Family,Active
2026-06-17,Vegetables,Leeks,Leeks/Spring Onions,Holland,,,,9.5,,,,,Active
2026-06-17,Vegetables,Agrico Mushroom White Bottom,Mushrooms,Qatar,250g,,,7.0,,,28.0,Family,Active
2026-06-17,Vegetables,Mushroom Slice,Mushrooms,Qatar,,,,8.5,,,,,Active
2026-06-17,Vegetables,Mushrooms Portobello,Mushrooms,,,,,19.5,,,,,Active
2026-06-17,Vegetables,Shimenji White Mushroom,Mushrooms,,150g,,,12.0,,,80.0,Family,Active
2026-06-17,Vegetables,Onion Small,Onion,India,,,,5.0,,,,,Active
2026-06-17,Vegetables,Onion Yemen,Onion,,,,,4.5,,,,,Active
2026-06-17,Vegetables,Aloe Vera,Other Vegetables,,,,,30.0,,,,,Active
2026-06-17,Vegetables,Amla (Gooseberry),Other Vegetables,India,,,,11.0,,,,,Active
2026-06-17,Vegetables,Bagal,Other Vegetables,,,,,5.0,,,,,Active
2026-06-17,Vegetables,Drumstick,Other Vegetables,India,,,,7.5,,,,,Active
2026-06-17,Vegetables,Eggplant,Other Vegetables,Holland,,,,28.0,,,,,Active
2026-06-17,Vegetables,Eggplant Purple,Other Vegetables,Qatar,,,,8.5,,,,,Active
2026-06-17,Vegetables,Premium Eggplant Pkt,Other Vegetables,Qatar,1kg,,,7.5,,,7.5,Family,Active
2026-06-17,Vegetables,Cluster Beans,Peas & Beans,India,,,,9.5,,,,,Active
2026-06-17,Vegetables,Indian Beans,Peas & Beans,India,,,,10.0,,,,,Active
2026-06-17,Vegetables,Aravi Big,Potatoes & Starchy Vegetables,India,,,,8.0,,,,,Active
2026-06-17,Vegetables,Potato,Potatoes & Starchy Vegetables,Egypt,,,,3.0,,,,,Active
2026-06-17,Vegetables,Potato,Potatoes & Starchy Vegetables,,,,,3.5,,,,,Active
2026-06-17,Vegetables,Potatoes White Chat Small,Potatoes & Starchy Vegetables,Australia,,,,27.0,,,,,Active
2026-06-17,Vegetables,Sweet Potato,Potatoes & Starchy Vegetables,Usa,,,,17.5,,,,,Active
2026-06-17,Vegetables,Sweet Potato,Potatoes & Starchy Vegetables,Bangladesh,,,,17.0,,,,,Active
2026-06-17,Vegetables,Taro Root,Potatoes & Starchy Vegetables,,,,,53.0,,,,,Active
2026-06-17,Vegetables,Yam Indian,Potatoes & Starchy Vegetables,India,,,,6.5,,,,,Active
2026-06-17,Vegetables,Pumpkin Mathan Green,Pumpkin,India,,,,13.75,,,,,Active
2026-06-17,Vegetables,Pumpkin Medium,Pumpkin,India,,,,8.75,,,,,Active
2026-06-17,Vegetables,Red Radish,Raddish,Holland,1kg,,,37.0,,,37.0,Family,Active
2026-06-17,Vegetables,Red Radish Poly Bag,Raddish,,125g,,,6.5,,,52.0,Family,Active
2026-06-17,Vegetables,Mung Bean Sprouts Pkts,Sprouts,,,,,6.5,,,,,Active
2026-06-17,Vegetables,Tomato,Tomato,Oman,,,,1.75,,,,,Active
2026-06-17,Vegetables,Tomato,Tomato,Qatar,,,,2.75,,,,,Active
2026-06-17,Vegetables,Tomato Cherry Red Vine,Tomato,,,,,12.5,,,,,Active
2026-06-17,Vegetables,Tomato Syria,Tomato,,,,,2.5,,,,,Active
2026-06-17,Vegetables,Tomato Tommys Pkt ( ),Tomato,Spain,500g,,,44.0,,,88.0,Family,Active
2026-06-17,Vegetables,Tomatoes Cherry Plum,Tomato,,250g,,,20.0,,,80.0,Family,Active
2026-06-17,Vegetables,Turmeric,Turmeric,India,,,,3.5,,,,,Active
2026-06-17,Vegetables,Lettuce Iceberg,Leafy Vegetables,,,,,,,,,,Market Out
2026-06-16,Fruits,Banana Flower,Banana,India,,,,17.5,,,,,Active
2026-06-16,Fruits,Banana Green,Banana,India,,,,4.5,,,,,Active
2026-06-16,Fruits,Physalis,Berries,,125g,,,15.0,,,120.0,Family,Active
2026-06-16,Fruits,Fresh Shredded Coconut (By Sea),Coconut,India,,,,3.0,,,,,Active
2026-06-16,Fruits,Mushroom Chestnut -,Fresh Nuts,Holland,,,,15.5,,,,,Active
2026-06-16,Fruits,Ash Banana,Green Banana,Sri Lanka,,,,9.5,,,,,Active
2026-06-16,Vegetables,Beetroot Cooked,Beetroot,,500g,,,22.0,,,44.0,Family,Active
2026-06-16,Vegetables,Cabbage,Cabbage & Broccoli,India,,,,8.75,,,,,Active
2026-06-16,Vegetables,Cabbage Sliced,Cabbage & Broccoli,,1kg,,,10.0,,,10.0,Family,Active
2026-06-16,Vegetables,Capsicum,Capsicum,Qatar,,,,6.0,,,,,Active
