date,category,product_name,product_type,origin,unit,lulu_price,rawabi_price,family_price,price_per_kg_lulu,price_per_kg_rawabi,price_per_kg_family,cheapest_store,status
2026-06-25,Vegetables,Beetroot Cooked,Beetroot,,500g,,,22.0,,,44.0,Family,Active
2026-06-25,Vegetables,Kohi,Cabbage & Broccoli,Bangladesh,,,,17.0,,,,,Active
2026-06-25,Vegetables,Capsicum Mix Pkt,Capsicum,Holland,4.0pcs,,,29.0,,,7250.0,Family,Active
2026-06-25,Vegetables,Chilly Red,Chillies & Spicy,Holland,,,,15.0,,,,,Active
2026-06-25,Vegetables,Sweet Corn,Corns & Baby Corn,Jordan,,,,8.5,,,,,Active
2026-06-25,Vegetables,Garlic,Garlic,India,,,,12.25,,,,,Active
2026-06-25,Vegetables,Celery,Herbs,Spain,,,,19.0,,,,,Active
2026-06-25,Vegetables,Lemon Grass,Herbs,,,,,5.5,,,,,Active
2026-06-25,Vegetables,Lettuce Lollo Rossa,Leafy Vegetables,,,,,18.75,,,,,Active
2026-06-25,Vegetables,Agrico Mushroom White Bottom,Mushrooms,Qatar,250g,,,7.0,,,28.0,Family,Active
2026-06-25,Vegetables,Eggplant,Other Vegetables,Holland,,,,28.0,,,,,Active
2026-06-25,Vegetables,Eggplant Purple,Other Vegetables,Qatar,,,,8.5,,,,,Active
2026-06-25,Vegetables,Peas Mangetout/Snow/Podded Peas,Peas & Beans,,250g,,,14.0,,,56.0,Family,Active
2026-06-25,Vegetables,Aravi Big,Potatoes & Starchy Vegetables,India,,,,8.0,,,,,Active
2026-06-25,Vegetables,Sweet Potato,Potatoes & Starchy Vegetables,India,,,,8.75,,,,,Active
2026-06-25,Vegetables,Sweet Potato,Potatoes & Starchy Vegetables,Bangladesh,,,,17.0,,,,,Active
2026-06-25,Vegetables,Taro Root,Potatoes & Starchy Vegetables,,,,,53.0,,,,,Active
2026-06-25,Vegetables,Pumpkin Mathan Green,Pumpkin,India,,,,13.75,,,,,Active
2026-06-25,Vegetables,Radish Ksa,Raddish,,,,,3.5,,,,,Active
2026-06-25,Vegetables,Arigni Green Gram Sprouts,Sprouts,,200g,,,5.75,,,28.75,Family,Active
2026-06-25,Vegetables,Baby Corn,Corns & Baby Corn,Thailand,125g,,,,,,,,Market Out
